"English","Danish","Dutch","Finnish","French","German","Indonesian","Italian","Japanese","Latin","Norwegian","Portugese","Spanish","Swahili","Swedish"
"illness","sygdom","ziekte, kwaal, aandoening","-","maladie","-","penyakit","malattia","irei, itawari, shippei, yamai, byouki","morbus","sykdom","doença","enfermedad","ugonjwa","åkomma, sjukdom"
"important","vigtig","erg, ernstig, belangrijk, voornaam","tärkeä","grave, important, considérable, sortable","bedeutend, wichtig, wichtig","penting","vistoso, rilevante, importante","inpo-tanto, taishita, omonaru, omo, omotai, omoi","-","viktig","importante, categorizado","grave, respetable, importante","kubwa","viktig, betydande, betydelsefull"
"in","i, om","per, in, te, binnen","-","dans, entrez","in, hinein, in","-","negli","oite, o, uchini, okeru, in","in","inn, inne, i, hos, ved, om, på","em","por, en, adentro","ndani ya, katika","på, hos, i"
"induce","slutte","besluiten, afleiden, concluderen","tehdä johtopäätös","induis, induisons, induisent, induissez, induire","veranlassen, induzieren, veranlassen, bewegen","-","provocare","yuuhatsu","concludere","bevege, forårsake, overtale","induza","inducir","-","förmå"
"industrious","flittig","naarstig, vlijtig, nijver, ijverig","ahkera","assidûment, assidu, appliqué","fleißig, arbeitsam","giat","valente, diligente","temame","-","flittig","aplicado","industrioso, valiente, afanoso","-","idog"
"inexpensive","billig","goedkoop","-","abordable, bon marché","preiswert, billig, preiswert","murah","economico","teiren, yasui","vilis","billig","barato","barato","rahisi","-"
"infant","barn","kind","lapsi","enfant, poupon","Kleinkind, Kind","-","fanciullo, fanciulla","akachan, eiji, shouni, osanago, nyuuji, youji","infans","spedbarn","criança, menino, infante, menina","niño, niña, infante","mtoto","-"
"inhabitant","indbygger, beboer","inwoner, bewoner, ingezetene","-","habitant","Einwohner, Bewohner","-","abitatore, abitante","juunin","incola","beboer, innbygger","habitante","morador, habitante","mwenyeji","invånare, inbyggare"
"ink","blæk","inkt","muste","encre","Tinte","tinta","inchiostro","sumi, inku","-","blekk, blekk","tinta","tinta","wino","bläck"
"inside","på, indenfor, i, om","per, te, in, binnen","-","dans, dedans, au dedans","inneres, innen, drin","-","di dentro","naimenteki, naka, rimen, naimen, uchigawa, naibu","in","innside, innvendig, indre, inne","para dentro, em","en, dentro, por, dentro de","katika, ndani ya, ndani","inne, in, innanför, inuti"
"interesting","interessant","interessant, belangwekkend","kummallinen","intéressant, singulier, curieux","Anteil, Interesse, interessant","menarik","interesante","omoshiroi, omoshiro","-","interessant","interessar","enderezado, interesante","-","intressant"
"iron","strygejern, jern","ijzeren","rauta","fer à repasser, fer, repasser, repassent, repassez","Eisen","besi, seterika, menyeterika","ferro, ferro da stiro","airon, kurogane, aian, tetsubun, tetsu","ferrum","-","férreo, ferro","plancha, hierro, planchar","chuma","järn, strykjärn"
"island","ø","eiland","saari","île, ile","Insel, Eiland, Insel","pulau","isola","shima","insula","øy","console, ilha","isla","kisiwa","ö"
"January","januar","louwmaand, januari","tammikuu","janvier","Januar","Januari","gennaio","ichigatsu","-","januar","Janeiro","enero","Januari","januari"
"job","embede, arbejde, opgave","emplooi, karwei, werk, arbeid","virka","métier, job, tâche, travail, fonction, emploi","Arbeit {f}, Auftrag {m}","-","lavoro, professione, posizione, quesito, posizione","jobu","labor","spekulere, arbeid, jobbe, jobb","tarefa, trabalho","trabajo, abdicación, posicion, tarea","kazi","jobb"
"join","forene, binde","zich aansluiten, lid worden, toetreden","sitoa, liittyä","joignent, joindre, associer, affilier, joignez, se","verbinden, kombinieren, kombinieren","mengikat, ikat","legare, copulare, unirsi, sè, guarnizione","setsuzoku","adiungere","forbinde, forene, skjøte, slutte seg til","junte, ligar","reunirse, reunir, copular, agregarse","-","foga, förena, anknyta, skarva ihop, skarva"
"journey","rejse","toer, tocht, reis, trip","matka","voyage, trajet","Reise","perjalanan","itinerario, viaggio in macchina, viaggio, tratto","enro, tabi, tabiji, ja-ni-","-","reise","viagem","viaje","safari, mwendo","resa, färd"
"joy","glæde","blijdschap","ilo","joie","-","-","consolazione","gojou, kietsu, joi, yorokobi","gaudium","glede","alegria","alegría","furaha","fröjd, glädje"
"judge","dømme, dommer","beoordelen, oordelen, berechten","tuomita","juge, juger","Richter, Sachverständiger, beurteilen, Jurist","hakim","giudice, giudicare","jajji, sai, hangan, saibannin, saibankan, hanji","-","dømme, dommer, anse for","juiz","juez, togado, juzgar","-","bedöma, döma, domare"
"jug","kande, beholder","kan, kruik","ruukku, säiliö","pot, récipient, broc, cruche, carafe","Krug, Kanne","-","orcia, vaso, caraffa, carato","kame, mika","-","potte, gryte, krukke, mugge","jarro","jarro, estuche, jarra, olla","chungu, chombo","kanna, krus"
"juice","saft","sap","mehu","jus, sève, suc","Saft","air perah","succo","shoueki, ekijuu, ju-su, shiru","-","kraft, saft","suco","zumo, jugo","-","saft"
"July","juli","juli, hooimaand","heinäkuu","juillet","Juli","Juli","luglio","shichigatsu","-","juli","Julho","julio","Julai","juli"
"jump","springe, spring","springen","hypätä","sautent, sautiller, sauter, sautons, félure","Sprung, überspringen, sprung, springen","melompat, lompat","saltellare, saltare, lancio","tobikomi, joutou, kyuutou, chouyaku, janpu","salire","hoppe, hopp, sprang","salto","brinco, salto, brincar, brincar, saltar, puentear","-","hoppa, hopp, språng"
"June","juni","zomermaand, juni","kesäkuu","juin","Juni","Juni","giugno","rokugatsu","-","juni","Junho","junio","Juni","juni"
"just","retfærdig, kun","billijk, fair, rechtvaardig","juuri, oikeudenmukainen, vain","juste, seulement, équitable, moral","gerade, gerade(noch), gerade/einfach","adil","equanime, soltanto","tadashii, kan, dake, bakari, douzen, jiki, tairaka","solum","rimelig, bare, nettopp, rettferdig","somente, só, apenas","solamente, sólo, ajustado","tu","rättvis, just, rättfärdig"
"key","nøgle","toonschaal, toonladder, scala","sävelasteikko","clé, clef, touche","Passfeder, Schlüssel, Taste, Schlüssel","kunci","chiave, tasto","ki-, kyuusho, hiketsu, kikan, choushi, kagi","clavis","nøkkel","chave","tecla, clave, llave","ufunguo","nyckel, tangent"
"kill","dræbe","ombrengen, doodmaken, doden","-","tuent, tuons, tuer, dézinguer, tuez","töten, löschen, vernichten","bunuh, membunuh","uccidere","uchitoru, ryuu, kiru, satsu","absumere","drepe","matança, matar","matar","-","slå ihjäl, döda, dräpa, avliva"
"kind","art, godhjertet, venlig","vriendelijk, voorkomend","ystävällinen, laji","aimable, gentil, affable, esrèce, sorte, esrèce","Sorte {f}, art, Art {f}","macam, baik, jenis, baik-haiti","fare, benevolo, cortese, valevole, gentile, sorta","you, hinshu, rui, shurui, atsui, tane, teinei","lepidus, comis","vennlig, snill","amável, espécie, género","bondadoso, laya, vigente, suerte","-","god, snäll, art, hygglig, sort, vänlig"
"king","dame","dam, lady, jonkvrouw, vrouw","kuningas","dame, roi","König","-","-","kokuou, oumono, kingu, ouja, oushou, ousama","rex","konge","rei","rey","mfalme","konung, kung"
"knee","knæ","knie","polvi","genou","Knie","lutut","ginocchio","ni-, hiza","genu","kne","joelho","rodilla","goti","knä"
"knife","kniv","mes","-","lingue, couteau, canif","Messer","pisau","coltello","debabouchou, deba, tou, naifu","smila","kniv","faca","cuchillo","kisu","kniv"
"know","vide, kende","kennen, bekend zijn met","tuntea, tietää","savons, sache, connais, su, connaissons, savent","können, kennen, wissen, kennen, wissen","tahu","potere, conoscere, sapere","nou","scire","kunne, vite, kjenne til","saber, saiba","saber, conocer","-","veta, känna, ha reda på"
"lake","sø","waterplas, plas, meer","järvi","marin, lac","See","-","navale, lago","re-ku, mizuumi, numa, kosui","lacus","sjø, innsjø","lago","lago","-","insjö, sjö"
"lamp","lampe","lamp","lamppu","lampe, phénix, camoufle","Lampe","lampu","lampada, fanalino","ranpu","lychnus","lampe","lâmpada","lampara, lámpara, lámpara","taa","lampa"
"land","land, jord, lande","aan land gaan, landen","maa","atterrir, aborder, prendre port, contrée, atterris","Boden, Festland, Land, Land, Land, landen, Boden","darat, tanah, negeri","terreno, terra, toccare terra","rando, riku, rikujou","tellus, terra","lande, land, havne","terra, país","aterrizar, tierra, atracar, abordar, país","ulaya, nchi, kiwanja","ägor, landsätta, hamna, landstiga, landa, land"
"language","sprog","taal","kieli","parole, langage","Sprache","bahasa","idioma","range-ji, go, gengo, kotoba, rangu","lingua","språk","língua, linguagem","idioma","lugha","språk"
"large","stor","groot","iso","grand, mailloche","groß, gross/lange, grosse, groß","besar, raya","grande, ampio","ko, kyo, kai, ookii, ooki, ookii, eki, ooinaru","-","utstrakt, stor","grande","anchuroso, gran, grande","kubwa","stor"
"last","forbigangen, vare, sidst","voorgaand, verleden, voorafgaand","viimeinen, kestää","dernier, durer, dernierère, durez, passé, durent","zuletzt, letzter, letzte","-","ultimo, durare, scorso, infine, continuare","saishuu, rasuto, saigo","-","vare, siste, forrige","último","postrero, por último, último, postremo, perdurar","a mwisho","sist, ytterst, vara, hålla, skoläst, förliden"
"law","lov","recht","laki","loi","Gesetz","hukum","legge","nori, hougaku, houritsu, kiritsu, tenpan, heki","lex","rett, lov, jus","lei","ley","-","lag, juridik"
"lead","føre, bly","de weg wijzen, geleiden, leiden","opastaa, lyijy","guider, plomb, conduire, mener","Blei, anführen, Anschlussdraht {m}","pimpin","condurre, piombo","sentou, reddo, sentou, tousotsu, ri-to","adducere, plumbum","ledelse, lodd, forsprang, vink, hovedrolle, bly","ligação, chumbo","guiar, plombo, plomo","-","föra, försprång, bly, leda, anföra, ledning"
"leader","chef, leder","gebieder, chef, aanvoerder, baas","päällikkö","causeur, guide, animateur","Führer {m}, Anführer {m}, Führer, Vorspann","majikan","guida","shuhan, toumoku, sousui, shidousha, shubousha","-","leder","líder","jefe, dueño, comandante, caudillo, guía, capitán","jumbe","ledare"
"leaf","blad","vel, blad","lehti","feuille, feuillet, feuiller","Blatt","-","sfogliare, falda, foglia","ha","folium","blad, løv","folha","hoja","jani","blad, löv"
"lean","mager, tynd, støtte, læne sig","schragen, steunen, stutten","nojata","maigre, adossons, adossent, appuyer, adossez","mager, knapp, hager, lehnen","tipis, kurus","sostenere, scremato, sporgere","kei","-","helle, lene, tynn, mager","delgado","apoyarse, enjuto","-","mager, luta sig"
"leap","springe, spring","springen","hypätä","sauter","springen, hervorspringen","lompat, melompat","saltare","chouyaku","salire","sprang, hopp, hoppe","pulo","brincar, saltar, salto","-","språng"
"leather","læder","taai, lederen, leerachtig, leren","nahka","cuir","Leder","kulit","cuoio","kawa, hikaku, reza-, kawa","corium","lær","couro","cuero","-","läder"
"leave","løslade, afrejse","op reis gaan, afreizen","jättää","laisser, délaisser, partir, sortons, sortent","verlassen, abfahren","-","andàrsene, lasciare in eredità, lasciare","tachisaru, hanareru, hima, itoma, ri-bu","abætere, abitere","reise, permisjon, avreise, etterlate","licença, afastar-se","irse, abandonar, dejar, expedir","-","utträda, avgå, tillstånd, överge, tillåtelse, lov"
"leg","ben","been","sääri","jambe, patte","Bein, Programmzweig","-","gamba, zampa","katai, ashi, sune, hagi, kyakubu, ashi","crus","lår, ben, etappe","pé, perna","pierna","mguu","-"
"lemon","citron","citroen","sitruuna","citron","Zitrone","jeruk","limone","remon","-","sitron","limão","limon, limón","-","citron"
"letter","bogstav, brev","zendbrief, epistel, brief","kirjain, kirje","missive, lettre","Brief, Brief, Buchstabe, Buchstabe","surat","epistolare, lettera alfabetica","shousoku, gansho, reta-, shokan, tegami, shinsho","epistola, charta","bokstav, brev","carta, letra","letra, carta","barua","skrivelse, bokstav, brev"
"lie","løgn, lyve, ligge","liggen","maata, valehdella","mentir, mensonge, mentez, gésir, gis, mentons","Lüge, liegen, lügen, liegen","baring ... berbaring, dusta, mendusta","circostanza, mentire, bugìa, giacere","rai, soragoto, uso, gi, tsukurigoto, itsuwari","cubare","løgn, ligge, lyve","mentira","mentir, positura, trapacear, mentira","uongo","lögn, ljuga, ligga"
"life","liv","leven, hachje","-","vie, animation, vie utile","Leben, Standzeit, Lebensdauer, Lebensdauer","-","stare, durata della vita","itonami, ukiyo, myou, seimei, ikioi, jurei, jinsei","vita, anima","liv","vida","vida","maisha","leverne, levnad, liv"
"light","let, svag, tænde, oplyse, lys","aansteken, doen ontbranden, aanmaken","valo, vaalea","camoufle, clair, allumer, allument, faible, léger","hell, leicht/Licht, erhellen, Licht, hell, Licht","enteng, lemah","lampada, poco pesante, rado, schiarire, accesi","ranpu, fuwafuwa, tomoshibi, assarishita, awai, hi","lumen, lux, accendere","belysning, lett, lys, tenne, lyse","débil, luz, fraco, acender","lampara, luz, encender, candela, clarear, claro","nuru, hafifu, epesi","sken, lyse, tunn, lätt, tända, lindrig, ljus"
"lightning","lyn","bliksem, schicht, flits, hemelvuur","salama","fulgurer, éclair, foudre","Blitz, Blitzen, Blitz","-","baleno, lampeggiare, fulmine","denkou, raikou","fulgetrum, fulgur, fulgetra, stella","lyn","relâmpago","relámpago, relampaguear, centella","umeme","-"
"like","synes om","hoe, bij wijze van, voor, als, tot","miten, arvostaa","de suite, comme, apprécier","gernhaben, wie, mag/mögen/ähnlich","sebagai","simile, pari, come","douyou, raiku, hitoshii, gotoku","-","som, lik","quão, como","parejo, como, si, cuan, cómo","kama","liksom, som, lik, tycka om"
"line","medesnøre, linie","vislijn, snoer, sim, hengelsnoer","viiva, rivi","raie, guivre, ligne, rangée","Furche, Strich, auskleiden, Vers, Linie, Linie","baris","riga, direzione, collezione, solco, riga, riga","rain, narabi, gyou, rosen, ikkou, sen, senro, suji","vicis","bransje, linjere, fôre, kante, snor, linje, strek","fio, fila, linha","turno, línea, surco, línea, linea, sierpe, verso","mstari","linje, lina, streck, elledning, rad, fodra"
"lion","løve","leeuw","leijona","lion","Löwe","-","leone","raion, tategami, shishi","leo","løve","leão","león, león, leon","simba","lejon"
"lip","læbe","lip","huuli","lèvre","Lippe","bibir","labbra","rippu","labia, labium, labrum, labea","leppe","bordo, lábio","labio","-","läpp, pip"
"list","liste","uitlisten, een lijst maken","lista","énumérer, liste","auflisten, Liste, auflisten","daftar","numerare, elenco, registro","meikan, rekki, risuto, mokuroku, keisha, katamuki","-","slagside, fortegnelse, liste, listeføre","lista","detallar, listar, catalogo, lista","-","förteckning, nota, lista"
"little","lille","gering, karig, min, luttel, klein","-","petit, peu","klein, wenig, klein, wenig","kecil","piccolo, minuscolo","kinshou, chicchai, ritoru, sashou, sukoshi","-","litt, lite","pequeno, pouco","pequeño, parvulo","dogo","litet, lilla, ringa, föga, liten"
"liver","lever","lever","maksa","foie","Leber","hati","epatico","reba-, kanzou, kimo","-","lever","fígado","hígado, higado","-","lever"
"load","læs","laden","lasti","chargement, fardeau","aufladen, Last, Last, laden","memuati, muatan","caricato","ro-do, ni, omoni, kajuu","-","last, laste, lade, belastning","carga","carga, ajobo, cargar","mzigo","ladda, lassa, lass, börda, lasta"
"loaf","brød","mik, brood","leipä","pain, miche","Laib","roti","pagnotta","-","pane, panis","brød, drive dank","pão","pan","mkate","limpa"
"lobster","hummer","langoest, pantserkreeft, kreeft","hummeri","homard","Hummer","-","aragosta","ebi, robusuta-, ebi, ebi","locusta","hummer","lagosta","langosta","-","hummer"
"long","lang","lang","pitkä","longuement, long, vaste","lang, lang, weit","-","vasto, lungo","daradara, nagai, naganaga, nagaraku, akkenai","longus","lenge, lengte, lang","comprido, por muito tempo","largo, vasto","refu","lång, länge"
"look","betragte, se ud, blik, se på","het uiterlijk hebben van, er uitzien","katsella, tässä","regardons, vision, regardez, prestige, voilà","schauen, schau, schaut, Blick, Blick, schauen","-","cera, notabilità, occhiata","gorannasai, kan, rukku, shisen, gyousou, metsuki","spectare","blikk, utseende, se, mine, synes","olhar, olhadela","acreditar, mirada, mire, ver, tenga, mirar","-","titt, uppsyn, se, ögonkast, blick, utseende, min"
"love","elske, kærlighed","beminnen, houden van, liefhebben","rakastaa","aimez, aiment, aimer, aimons, amour","Liebe, Liebe, lieben, lieben","kasih","amore, amare","koigokoro, ai, aijou, ji, ren'ai, aikou, suki, koi","amor, amare","elskede, kjæreste, elske, kjærlighet","amor","amor, amar, cari o","-","kärlek, älska"
"lovely","behagelig, fortryllende, værdifuld, skøn, dyr, kær","behaaglijk, genoeglijk","suloinen, kallis, miellyttävä, kaunis","charmant, beau, cher, irritant, amène, délicieux","lieblich","cantik, indah, mahal","ameno, incantevole, placevole, delizioso","itoshii, karen, uruwashii, airashii, kawairashii","pulcher, carus, bellus, formosus","yndig, deilig","formoso, belo, caro, encantador","agradable, bonito, coqueton, ameno, caro, hermoso","zuri, ghali","älsklig, söt, förtjusande"
"low","lav","laag","-","inférieure","nieder, muhen, niedrig","rendah","inferiore, inferiore","hikui, ro-","abiectus","nedslått, simpel, lav, dyp","baixo","bajo","-","gemen, låg"
"loyal","tro","getrouw, trouw, loyaal, trouwhartig","uskollinen","loyal","loyal, treu","setia","fido, leale","roiyaru","-","lojal, trofast","leal","fiel","-","trogen"
"lump","brud, stykke, masse, brudstykke","prop, klont, klomp, bal, kluit, dot","kimpale, massa, pala","morceau, masse, motte, boule, pièce, fragment","Kloß","-","cumulo, ammaccatura, gnocco","kobu, tankobu, katamari","-","klumpe, klump, hevelse","protuberância","pedazo, terrón, pieza, pella, tela, chichon, masa","kipande","klimp, klump"
"machine","-","machine","kone","machine","bearbeiten, Maschine","mesin","ordigno","mashi-n, mashin, kikai","-","maskin, maskin","máquina","maquina, máquina, máquina","mtambo, mashine","maskin"
"mad","-","dolzinnig, dol, gek, krankzinnig","hullu","fou, détraqué, torve, enragé","irre, böse","gila","arrabbiato, cattivo, pazzo, pazzo","kichigai","amens","rasende, gal","louco","enojado, furibundo, demente, chiflado","-","tokig, vansinne, galen"
"magazine","tidskrift, avis","blad, krant","sanomalehti","gazette, revue, journal","Zeitschrift, Magazin","-","periodico","zasshi, kura, shi, magajin, shishuu, kura","-","tidsskrift, tidsskrift, tidskrift, magasin","jornal, compartimento","periódico","gazeti","tidskrift, magasin"
"man","menneske, mand","mens","mies, ihminen","mâle, l'homme, homme","Mann","manusia","persona, uomo, omo","banbutsunoreichou, hito, jin, ningen, jin, dansei","vir, homo","menneske","homem","hombre, varon","mwanamume","människa, man, karl"
"March","gå, marchere","lopen, marcheren","marssia","marcher","März, Marsch, März/marschieren","Maret","camminare","yayoi","ambulare","mars","Março","andar","Machi","tåga"
"market","torv","marktplein, markt, bazaar, marktplaats","markkinat","commercialisons, comercialisent, alinéa, foire","Markt","pasar","mercato, alìnea, commercio","hanro, ichi, shijou, ma-ketto","-","torg","mercado","mercado","soko","marknad, avsättningsområde"
"matter","anliggende, stof","aangelegenheid, ding, affaire, zaak","asia","matière, substance, matériaux","Sache, Grund, Angelegenheit, Material, Gegenstand","perkara","stoffa, materia, materiale","naiyou, jishou, gi, kotogara, ken, koto, jikou","causa, res","anliggende","matéria","materia","jambo","ärende, materia, angelägenhet, sak, ting, var"
"mattress","madras","matras","-","matelas","Matratze","tikar","materasso","shikibuton, mattoresu, shikibuton","sisurna","madrass","colchão","colchón, colchon, colchón","-","madrass"
"may","maj","bloeimaand, mei","voida","mai","möge.Mai, mag, kann, darf, kann, Mai, mag","Mei","potere","kamoshirenai","-","mai","Maio","mayo","Mei","må"
"maybe","måske","misschien, mogelijkerwijs, mogelijk","-","peut-être","vielleicht, eventüll","boleh jadi, mungkin","chissà, forse","moshikashitara, moshikasuruto","fortasse","kanskje","talvez, acaso","quizá, a lo mejor, quizás","labda","kanske, kanhända"
"me","mig, jeg","mij, me","minä","je, m', me, admonestation, moi, j'","mir, mich, mir","aku","me, biasimo, io, a me","ware","ego","-","mim","me, yo","mimi","mig"
"meal","mel, måltid","bloem, meel","jauhot","repas, farine","Essen, Mahlzeit, Mahl","-","pietanza","mi-ru, kona, essen, shokuji, gohan, zen","-","mel, måltid","refeição","harina, comida","unga","mål mat, måltid"
"means","værktøj","middel, werktuig","keino, koje","ressource, moyens, instrument, moyen, remède","bedeutet, bedeutet, bedeuten, Hilfsmittel, Mittel","perkakas, alat","espediente","shikata, shou, dougu, shisan, gu, shikata, houto","-","middel","significa, ferramenta","medios, instrumento, herramienta","-","utväg, råd (utväg), medel"
"measure","mål, måle","meten","mitata","mesurent, mesurez, mesurer, cadence, mesurons","messen, Maß, Maß, Maßnahme, Maßeinheit","-","proporzione, tatto, misurare, misura","shisaku, shudan, yakusuu, sochi, take, keisoku","-","mål","medida","tacto, mesurar, medida","cheo","mått, takt, mäta, åtgärd"
"meat","kød","vlees","liha","viande","Fleisch","daging","carne","niku, mi-to","-","kjøtt","carne","carne","nyama","kött"
"medicine","-","medicijn, artsenij, geneesmiddel","lääke","médicament, officinal, médecine","Medizin, Arznei {f}","obat","medicina, medicina","igaku, i, iyaku, yakuzai, ijutsu, kusuri, zai","-","medisin","medicina","medicina, medicina, medicamento","dawa","medicin, läkemedel"
"milk","mælk, malke","melk","lypsää, maito","trayez, traient, laitier, trayons, lait, traire","Milch","susu","latte","miruku, nyuujuu, chichi","-","melk","leite","leche","maziwa","mjölka, mjölk"
"minute","minut","minuut","minuutti","minute","Minute","-","minuto","seichi, fun, seimitsu, komakai","-","minutt","minuto","minuto","dakika","minut"
"mirror","spejl","afspiegelen","peili","miroiter, miroir","Spiegel","-","specchio","mira-, kikan, kagami","-","speil","espelho","espejo, especho, especho","kioo","spegel, återspegla"
"miserable","dårlig, fattig, slet, bedrøvet, ond","jammerlijk","-","malchanceux, piteux, peiné","elend, unglücklich","-","afflitto, malinconia, disgraziato, lamentoso","nasakenai, wabishii, mijime, mizeraburu, asamashii","malus","dårlig, sturen, fattig","miserável, pobre, mau","desastrado, clamoroso, pesaroso, pobre","a huzuni, maskini, hafifu, baya","ömklig, olycklig, eländig, usel"
"mist","tåge","damp, floers, nevel, mist","sumu","brouillard, brume","Nebel, Nebel, sich trüben","-","nebbia, foschia","kiri, kasumi, misuto, enmu","caligo, nebula","tåke, skodde","neblina, névoa","niebla, bruma","-","imma, töcken, dimma"
"mistake","fejl","vergissing, fout, dwaling, abuis","virhe","trompons, abus, erreur, trompez, trompent","verwechseln, Mißverständnis","salah, kesalahan","errore, vizio, granchiolino","gobyuu, tetsu, katai, kago, sakugo, fukaku, saika","error","feil, mistak","erro, defeito","equivocación, equivocación, deformidad, error","kosa","fel, misstag"
"mix","blande","temperen, mengen, vermengen, mixen","sekoittaa","mêler, mélangent, mélangeons, mixage, mélangez","mischen","mencampuri","mischiare, mischio","gotta, mikkusu","-","blande","mistura","combinar, mezclar","-","blanda, sammanblanda"
"Monday","mandag","maandag","maanantai","lundi","Montag","Senin","lunedí","getsuyou, getsuyoubi","-","mandag","Segunda-feira","lunes","Jumatatu","måndag"
"money","penge","poen, geld","raha","monnaie","Geld","duit, uang","denaro, soldi, quattrini","kane, kinsen, okane, kakaru, geru, kahei, geruto","æs, pecunia","penger","dinheiro","pecunia, dinero","fedha","pengar, penningar"
"monkey","abe","aap","apina","singe","Affe {m}","kera","scimmia","yamazaru","cercops, clura","-","macaco","mono, mica","tumbili","apa, apekatt"
"month","måned","maand","kuukausi","mois","Monat","-","mese","tsuki","mensis","måned","mês","mes","mwezi","månad"
"moon","måne","maan","kuu","lune","Mond","-","luna","getsuei, mu-n, hisakata, shichiyou, tsuki","luna","måne, måne","lua","luna","mwezi","måne"
"mother","mor, moder","ouder, moeder","-","maternel, mère","Mutter, Mutter/Haupt","-","madre","hahaoya, reidou","mater","mor","mãe","madre","mama","mamma, moder, mor"
"mountain","bjerg","berg","vuori","montagne","Gebirge, Berg [pl: Gebirge], Berg","gunung","montagna","yama, take, berugu, maunten","mons","fjell","serra, montanha","montaña, cerro","mlima","berg, fjäll"
"mouse","mus","muis","hiiri","souris","Maus","tikus","topo, sorcio","nezumi, mausu, hatsukanezumi","mus","mus","rato","raton, ratón, ratón","panya mdogo","råtta"
"mouth","mund","bek, muil","suu","bouche, embouchure","Mündung, Mund, Mund","mulut","boca, abboccatura, muso, bocca, imboccatura","kuchisaki, iriguchi, irikuchi, kuchi, hairiguchi","bucca","munn","boca, foz","boca, desembocadura","-","mynning, mun, gap"
"mud","dynd","slik, modder, slijk, drek","loka, lima","boue, bourbe, vase","Schlamm","lumpur","fango","deido, doro","cænum, lutum","-","lama, lodo","MUD, pecina, barro","-","slam, gyttja, dy"
"mushroom","svamp, champignon","champignon","sieni","champignon de couche, champignon","Champignon, Pilz","-","fungo","masshuru-mu","boletus","sopp","cogumelo","seta, champiñon","-","svamp"
"nail","negl, søm","spijkeren, nagelen","kynsi, naula","clou, ongle, enclouer, clouer, caboche","Nagel, nageln, Nagel","kuku, paku","chiodo, inchiodare","kugi","clavus","negl, spiker","unha, prego","uña, clavar, uña, una, clavo","-","spika, spik, nubb, nagel"
"name","navn","benaming, naam, naamwoord","nimi","qualifier, nom","Name, benennen, Name","-","reputazione, nomare, cognome","shougou, shimei, ne-mu, niji, meishou, namae, na","nomen","navn","nome","denominar, nombrar, nombre","jina","banämning, nämna, namnge, namn, rykte, kalla"
"narrow","smal, tæt","smal, bekrompen, eng, krap, nauw","-","pressé, étroit","schmal, eng, begrenzte","sempit","venni, magro","semai, tezema","angustus","trang, smal","-","angosto, estrecho, metido","embamba","snäv, smal, trång"
"nasty","snavset, grim, slet, dårlig, ond","afschuwelijk","inhottava, ilkeä","vilain, perfide, épouvantable, affreux","garstig, garstig, unangenehm, scheußlich","jelek, buruk","spaventoso, orrendo","tanrakuteki, egetsunai","malus, abominabilis","dårlig, heslig, stygg","sujo, mau","sucio, feo","baya","otäck"
"nation","folk, nation","natie, volk","kansa, kansakunta","peuple, nation","Volk, Nation, Nation","bangsa","nazione","tami, minzoku, minzoku, kokka","populus, natio","-","nação, povo","nacion, pueblo, nación","watu","nation, folk"
"nature","natur, karakter","karakter, geaardheid, aard","-","nature, caractère","Natur, Natur, Beschaffenheit","alam","indole","etai, ametsuchi, kidate, seishitsu, hinsei, rinsei","animus","natur","natureza, carácter","naturaleza","-","natur, beskaffenhet"
"nearly","næsten","schier, bijkans, haast, bijna","melkein","quasiment","beinahe, fast, beinahe, nahezu","hampir","quasi","hakkubu, ayauku","pæne, prope, fere","nesten","quase","casi","-","nära"
"necessary","nødvendig","nodig, benodigd","välttämätön","necessaire, nécessaire, requis","wichtig, nötig, notwendig","perlu","necessario, necessario, occorrente","hisshino, hitsuzenteki, hitsuzen, hitsuju","-","-","necessário, preciso","necesario, necesitario","lazima","nödvändig"
"neck","hals","nek, hals","kaula","cou, kiki","Hals, Hals, Genick, Nacken","leher","collo, collottola","eri, nekku, kubi","cervix","hals","garganta, pescoço","cervical, cerviz, cuello","-","nacke, hals"
"need","behøve, behov","nodig hebben, hoeven, behoeven, moeten","tarvita","indigence, avoir besoin, nécessitons, nécessitez","Bedürfnis, benötigen, brauchen, nötig, Bedarf","perlu, keperluan","aver bisogno, usare, richiesta, bisogno, richiesta","iriyou, ni-do, hitsuyou, nyuuyou","requirere","-","necessidade","necesitar, menester, necesidad","haja","behöva, nöd, brist, behov"
"needle","knappenål, nål","naald","neula","aiguille, canule, épingle","Nadel","jarum","ago, spilla","hari, hari, ni-doru","-","knappenål, nål","alfinete, agulha","alfiler, aguja","sindano","nål, synål, barr"
"never","aldrig","nimmer, nooit","ei koskaan","ne jamais, jamais, ne jamais","niemals, nie","-","giammai, mai","konrinzai, kesshite","nunquam","aldri","nunca, jamais","jamas, jamas, jamás, nunca","-","aldrig"
"new","ny","nieuw, opkomend","uusi","nouveau","neu","-","novizio","arata, meatarashii, nyu-, hatsu, shinnin, hoyahoya","novus","ny","novo","nuevo","pya","ny"
"newspaper","avis","blad, krant","sanomalehti","journal, gazette","Zeitung","-","gazzetta","shinbun, shinbunshi","-","tidskrift, avis","jornal","gaceta, periódico","gazeti","tidning"
